city,lat,lng,country,iso2,state,capital,population,population_proper
Thursday Island,-10.5789,142.22,Australia,AU,Queensland,,2610,2610
Bamaga,-10.8833,142.3833,Australia,AU,Queensland,,1164,1164
Maningrida,-12.05,134.217,Australia,AU,Northern Territory,,2308,2308
Nhulunbuy,-12.1825,136.7819,Australia,AU,Northern Territory,,3240,3240
Darwin,-12.4381,130.8411,Australia,AU,Northern Territory,admin,136828,136828
Howard Springs,-12.4922,131.053,Australia,AU,Northern Territory,,5132,5132
McMinns Lagoon,-12.5329,131.05,Australia,AU,Northern Territory,,5025,5025
Weipa,-12.6167,141.8667,Australia,AU,Queensland,,3899,3899
Jabiru,-12.6667,132.8333,Australia,AU,Northern Territory,,1081,1081
Port Keats,-14.2333,129.517,Australia,AU,Northern Territory,,2280,2280
Katherine,-14.4667,132.2667,Australia,AU,Northern Territory,,1488,1488
Cooktown,-15.469,145.2515,Australia,AU,Queensland,,2631,2631
Kununurra,-15.7736,128.7386,Australia,AU,Western Australia,,5308,5308
Mossman,-16.4603,145.3733,Australia,AU,Queensland,,1937,1937
Port Douglas,-16.4834,145.4652,Australia,AU,Queensland,,3504,3504
Julatten,-16.6069,145.343,Australia,AU,Queensland,,1091,1091
Kuranda,-16.8197,145.6369,Australia,AU,Queensland,,3008,3008
Smithfield Heights,-16.8314,145.691,Australia,AU,Queensland,,5303,5303
Freshwater,-16.8833,145.717,Australia,AU,Queensland,,2023,2023
Yarrabah Aboriginal Community,-16.9094,145.8703,Australia,AU,Queensland,,2559,2559
Cairns,-16.9303,145.7703,Australia,AU,Queensland,,152729,146778
Mareeba,-16.9833,145.4167,Australia,AU,Queensland,,11079,11079
Gordonvale,-17.0936,145.7866,Australia,AU,Queensland,,6671,6671
Dimbulah,-17.1489,145.111,Australia,AU,Queensland,,1050,1050
Tolga,-17.223,145.4788,Australia,AU,Queensland,,2718,2718
Atherton,-17.2658,145.478,Australia,AU,Queensland,,7331,7331
Yungaburra,-17.2711,145.5831,Australia,AU,Queensland,,1106,1106
Derby,-17.3056,123.6339,Australia,AU,Western Australia,,3325,3325
Babinda,-17.345,145.925,Australia,AU,Queensland,,1253,1253
Malanda,-17.355,145.5958,Australia,AU,Queensland,,1985,1985
Innisfail,-17.5236,146.0292,Australia,AU,Queensland,,7236,1145
Ravenshoe,-17.6058,145.483,Australia,AU,Queensland,,1400,1400
Normanton,-17.6667,141.0667,Australia,AU,Queensland,,1210,1210
Wongaling Beach,-17.9145,146.0972,Australia,AU,Queensland,,1245,1245
Tully,-17.9333,145.9333,Australia,AU,Queensland,,2390,2390
Doomadgee,-17.9443,138.83,Australia,AU,Queensland,,1405,1405
Broome,-17.9619,122.2361,Australia,AU,Western Australia,,14445,4042
Fitzroy Crossing,-18.1944,125.5667,Australia,AU,Western Australia,,1297,1297
Halls Creek,-18.23,127.67,Australia,AU,Western Australia,,1546,1499
Cardwell,-18.2642,146.0258,Australia,AU,Queensland,,1309,1309
Ingham,-18.65,146.1667,Australia,AU,Queensland,,4357,4357
Palm Island,-18.7345,146.5794,Australia,AU,Queensland,,2455,2455
Nelly Bay,-19.1583,146.8486,Australia,AU,Queensland,,1196,1196
Bluewater,-19.1744,146.5503,Australia,AU,Queensland,,1040,1040
Mount Low,-19.2247,146.6808,Australia,AU,Queensland,,4655,4655
Townsville,-19.2564,146.8183,Australia,AU,Queensland,,180820,178649
Jensen,-19.2572,146.641,Australia,AU,Queensland,,1476,1476
Bohle Plains,-19.3136,146.6919,Australia,AU,Queensland,,3205,3205
Alice River,-19.3486,146.6183,Australia,AU,Queensland,,2143,2143
Rasmussen,-19.3497,146.716,Australia,AU,Queensland,,4456,4456
Nome,-19.3594,146.9508,Australia,AU,Queensland,,1016,1016
Alligator Creek,-19.4239,146.946,Australia,AU,Queensland,,1353,1353
Brandon,-19.5541,147.3547,Australia,AU,Queensland,,1094,1094
Ayr,-19.5744,147.4066,Australia,AU,Queensland,,8738,8738
Home Hill,-19.6611,147.4139,Australia,AU,Queensland,,3027,2954
Bowen,-20.0167,148.2333,Australia,AU,Queensland,,10377,10377
Charters Towers,-20.1,146.2667,Australia,AU,Queensland,,8120,8120
Airlie Beach,-20.2744,148.715,Australia,AU,Queensland,,1208,1208
Cannonvale,-20.2863,148.6866,Australia,AU,Queensland,,5716,5716
Port Hedland,-20.31,118.6011,Australia,AU,Western Australia,,14320,4180
Hamilton Island,-20.35,148.95,Australia,AU,Queensland,,1208,1208
Proserpine,-20.4017,148.5814,Australia,AU,Queensland,,3562,3562
Collinsville,-20.5526,147.8452,Australia,AU,Queensland,,1248,1248
Dampier,-20.66,116.71,Australia,AU,Western Australia,,1104,1104
Wickham,-20.675,117.1403,Australia,AU,Western Australia,,2295,2295
Cloncurry,-20.7,140.5,Australia,AU,Queensland,,2719,2719
Mount Isa,-20.7333,139.5,Australia,AU,Queensland,,18588,118
Karratha,-20.7364,116.8464,Australia,AU,Western Australia,,16708,16708
Hughenden,-20.8438,144.1986,Australia,AU,Queensland,,1136,1136
Bucasia,-21.0311,149.1597,Australia,AU,Queensland,,4771,4771
Andergrove,-21.0931,149.186,Australia,AU,Queensland,,9419,9419
Glenella,-21.1197,149.1542,Australia,AU,Queensland,,4519,4519
North Mackay,-21.1216,149.1783,Australia,AU,Queensland,,5933,5933
Mackay,-21.1411,149.1861,Australia,AU,Queensland,,80148,3659
Marian,-21.1453,148.9431,Australia,AU,Queensland,,3903,3903
Walkerston,-21.1608,149.0591,Australia,AU,Queensland,,3403,3403
Mirani,-21.1667,148.8667,Australia,AU,Queensland,,1541,1541
Hay Point,-21.3027,149.2636,Australia,AU,Queensland,,1348,1348
Glenden,-21.3539,148.1144,Australia,AU,Queensland,,1308,620
Sarina,-21.4225,149.2175,Australia,AU,Queensland,,5522,5522
Nullagine,-21.888,120.107,Australia,AU,Western Australia,,1701,1701
Exmouth,-21.9331,114.1281,Australia,AU,Western Australia,,2486,2486
Moranbah,-22.0016,148.0533,Australia,AU,Queensland,,8735,8735
Dysart,-22.5855,148.3508,Australia,AU,Queensland,,2991,2991
Tom Price,-22.6939,117.795,Australia,AU,Western Australia,,3005,3005
Middlemount,-22.8167,148.7,Australia,AU,Queensland,,1914,1841
Clermont,-22.823,147.6383,Australia,AU,Queensland,,3031,3031
Tieri,-23.035,148.3483,Australia,AU,Queensland,,1129,1129
Capella,-23.0667,148.0167,Australia,AU,Queensland,,1010,1010
Yeppoon,-23.1333,150.7333,Australia,AU,Queensland,,19003,6334
Mulambin,-23.1978,150.7885,Australia,AU,Queensland,,1042,921
Paraburdoo,-23.201,117.671,Australia,AU,Western Australia,,1380,1380
Emu Park,-23.2569,150.8264,Australia,AU,Queensland,,2021,2021
Alton Downs,-23.3158,150.3644,Australia,AU,Queensland,,1278,1278
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
Rockhampton,-23.375,150.5117,Australia,AU,Queensland,,78592,78592
Gracemere,-23.4333,150.45,Australia,AU,Queensland,,11315,11315
Longreach,-23.4422,144.2491,Australia,AU,Queensland,,2970,2970
Blackwater,-23.4667,148.7667,Australia,AU,Queensland,,4749,4749
Emerald,-23.5167,148.15,Australia,AU,Queensland,,14119,14119
Barcaldine,-23.5555,145.2888,Australia,AU,Queensland,,1422,1422
Bouldercombe,-23.5767,150.4671,Australia,AU,Queensland,,1085,1085
Mount Morgan,-23.65,150.3833,Australia,AU,Queensland,,1963,1963
Alice Springs,-23.7,133.8667,Australia,AU,Northern Territory,,23726,23726
Gladstone,-23.8489,151.2625,Australia,AU,Queensland,,33418,33418
Parsons Point,-23.8492,151.2733,Australia,AU,Queensland,,1093,1093
Tannum Sands,-23.9474,151.3675,Australia,AU,Queensland,,5145,5145
Boyne Island,-23.9477,151.355,Australia,AU,Queensland,,4760,4760
Calliope,-24.0061,151.1988,Australia,AU,Queensland,,3438,3438
Springsure,-24.1161,148.0886,Australia,AU,Queensland,,1103,1103
Agnes Water,-24.2125,151.9032,Australia,AU,Queensland,,2210,2210
Biloela,-24.4002,150.5133,Australia,AU,Queensland,,5758,5758
Blackall,-24.4167,145.4667,Australia,AU,Queensland,,1416,1416
Moura,-24.5667,150.0167,Australia,AU,Queensland,,1899,1786
Moore Park,-24.7108,152.2388,Australia,AU,Queensland,,2650,2650
Burnett Heads,-24.7667,152.4,Australia,AU,Queensland,,2656,2656
Bargara,-24.8205,152.4625,Australia,AU,Queensland,,7485,7485
Gooburrum,-24.8222,152.3216,Australia,AU,Queensland,,1442,1442
Bundaberg,-24.85,152.35,Australia,AU,Queensland,,70921,70540
Bucca,-24.8625,152.1008,Australia,AU,Queensland,,1027,1027
Innes Park,-24.8661,152.4804,Australia,AU,Queensland,,2302,2302
Monto,-24.8667,151.1167,Australia,AU,Queensland,,1189,1189
Carnarvon,-24.8672,113.6611,Australia,AU,Western Australia,,4426,4426
Sharon,-24.8761,152.2458,Australia,AU,Queensland,,1316,1316
Elliott Heads,-24.9119,152.4902,Australia,AU,Queensland,,1040,1040
Gin Gin,-24.9908,151.9558,Australia,AU,Queensland,,1053,1053
Burrum Heads,-25.1841,152.6138,Australia,AU,Queensland,,2067,2067
Childers,-25.2363,152.2775,Australia,AU,Queensland,,1584,1584
Yulara,-25.2406,130.9889,Australia,AU,Northern Territory,,1099,1099
Toogoom,-25.2459,152.671,Australia,AU,Queensland,,2178,2178
Point Vernon,-25.2538,152.8177,Australia,AU,Queensland,,5699,5699
Craignish,-25.283,152.7288,Australia,AU,Queensland,,1827,1827
Scarness,-25.2833,152.85,Australia,AU,Queensland,,3519,3519
Hervey Bay,-25.2853,152.8728,Australia,AU,Queensland,,54674,54674
Urraween,-25.2955,152.8219,Australia,AU,Queensland,,6969,6969
Howard,-25.3167,152.567,Australia,AU,Queensland,,1359,1359
Booral,-25.3539,152.8897,Australia,AU,Queensland,,1449,1449
River Heads,-25.4133,152.9136,Australia,AU,Queensland,,1539,1539
Aldershot,-25.4625,152.661,Australia,AU,Queensland,,1152,1152
Oakhurst,-25.5125,152.6263,Australia,AU,Queensland,,1444,1444
Maryborough,-25.5375,152.7019,Australia,AU,Queensland,,27282,15406
Mundubbera,-25.5881,151.2991,Australia,AU,Queensland,,1261,1261
Gayndah,-25.6244,151.608,Australia,AU,Queensland,,1981,1981
Rainbow Beach,-25.9075,153.0888,Australia,AU,Queensland,,1249,1249
Tin Can Bay,-25.9167,153.0,Australia,AU,Queensland,,2242,2242
Cooloola Cove,-25.9805,152.9944,Australia,AU,Queensland,,2633,2633
Curra,-26.0708,152.5894,Australia,AU,Queensland,,1920,1920
Gympie,-26.19,152.6655,Australia,AU,Queensland,,21599,10803
The Palms,-26.1902,152.5861,Australia,AU,Queensland,,1010,1010
Murgon,-26.2333,151.95,Australia,AU,Queensland,,2378,2378
Cherbourg,-26.2833,151.95,Australia,AU,Queensland,,1128,1128
Wondai,-26.3183,151.8736,Australia,AU,Queensland,,1973,1973
Cooran,-26.3353,152.8236,Australia,AU,Queensland,,1457,1457
Pomona,-26.3625,152.8564,Australia,AU,Queensland,,2910,2910
Charleville,-26.4016,146.2383,Australia,AU,Queensland,,3335,3335
Cooroy,-26.4166,152.9119,Australia,AU,Queensland,,3791,3791
Peregian Beach,-26.481,153.096,Australia,AU,Queensland,,3791,3791
Eumundi,-26.4833,152.95,Australia,AU,Queensland,,1924,1924
Mitchell,-26.4861,147.9752,Australia,AU,Queensland,,1031,1031
Kingaroy,-26.5333,151.8333,Australia,AU,Queensland,,10398,10020
Yandina,-26.55,152.95,Australia,AU,Queensland,,2221,2221
Yaroomba,-26.55,153.1,Australia,AU,Queensland,,1623,1623
Roma,-26.5733,148.7869,Australia,AU,Queensland,,6848,6848
Marcoola,-26.5833,153.083,Australia,AU,Queensland,,3173,3173
Bli Bli,-26.618,153.037,Australia,AU,Queensland,,7801,7801
Mapleton,-26.6247,152.8666,Australia,AU,Queensland,,1564,1564
Nambour,-26.6269,152.9592,Australia,AU,Queensland,,11187,11187
Miles,-26.6583,150.187,Australia,AU,Queensland,,1746,1746
Nanango,-26.6667,152.0,Australia,AU,Queensland,,3599,3599
Woombye,-26.6667,152.967,Australia,AU,Queensland,,3246,3246
Palmwoods,-26.6883,152.9597,Australia,AU,Queensland,,5676,5676
Witta,-26.6975,152.8119,Australia,AU,Queensland,,1201,1201
Eudlo,-26.7333,152.967,Australia,AU,Queensland,,1117,1117
Chinchilla,-26.7397,150.625,Australia,AU,Queensland,,6612,6612
Maleny,-26.758,152.8513,Australia,AU,Queensland,,3441,3441
